,standing,title,year,description,geek_rating,avg_rating,num_voters,url
108,9,Star Wars: Rebellion,2016,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,8.17,8.42,33036,https://boardgamegeek.com//boardgame/187645/star-wars-rebellion
109,10,Gloomhaven: Jaws of the Lion,2020,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,8.154,8.43,35248,https://boardgamegeek.com//boardgame/291457/gloomhaven-jaws-of-the-lion
110,11,Spirit Island,2017,Island Spirits join forces using elemental powers to defend their home from invaders.,8.144,8.34,53127,https://boardgamegeek.com//boardgame/162886/spirit-island
111,12,Gaia Project,2017,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",8.11,8.37,27714,https://boardgamegeek.com//boardgame/220308/gaia-project
112,13,Twilight Struggle,2005,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,8.066,8.24,49245,https://boardgamegeek.com//boardgame/12333/twilight-struggle
113,14,Through the Ages: A New Story of Civilization,2015,Rewrite history as you build up your civilization in this epic card drafting game!,8.052,8.28,32116,https://boardgamegeek.com//boardgame/182028/through-the-ages-a-new-story-of-civilization
114,15,Great Western Trail,2016,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,8.02,8.19,41298,https://boardgamegeek.com//boardgame/193738/great-western-trail
115,16,The Castles of Burgundy,2011,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",8.016,8.14,63209,https://boardgamegeek.com//boardgame/84876/the-castles-of-burgundy
116,17,Scythe,2016,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",7.986,8.14,84834,https://boardgamegeek.com//boardgame/169786/scythe
117,18,Eclipse: Second Dawn for the Galaxy,2020,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.979,8.45,14127,https://boardgamegeek.com//boardgame/246900/eclipse-second-dawn-for-the-galaxy
118,19,7 Wonders Duel,2015,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7.97,8.09,96502,https://boardgamegeek.com//boardgame/173346/7-wonders-duel
119,20,Brass: Lancashire,2007,Test your economic mettle as you build and network in the Industrial Revolution.,7.963,8.2,25244,https://boardgamegeek.com//boardgame/28720/brass-lancashire
120,21,Nemesis,2018,"Survive an alien-infested spaceship, but beware of other players and their agendas!",7.953,8.27,31456,https://boardgamegeek.com//boardgame/167355/nemesis
121,22,Clank! Legacy: Acquisitions Incorporated,2019,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",7.948,8.53,9655,https://boardgamegeek.com//boardgame/266507/clank-legacy-acquisitions-incorporated
122,23,A Feast for Odin,2016,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",7.943,8.17,29153,https://boardgamegeek.com//boardgame/177736/a-feast-for-odin
123,24,Concordia,2013,Merchants build and trade throughout the Roman Empire to please the Gods.,7.942,8.09,41108,https://boardgamegeek.com//boardgame/124361/concordia
124,25,Frosthaven,2022,Adventure in the frozen north and build up your outpost throughout an epic campaign.,7.907,8.82,7369,https://boardgamegeek.com//boardgame/295770/frosthaven
125,26,Great Western Trail: Second Edition,2021,Wrangle your herd of cows across the Midwest prairie and deliver it to Kansas City.,7.905,8.33,13416,https://boardgamegeek.com//boardgame/341169/great-western-trail-second-edition
126,27,Arkham Horror: The Card Game,2016,Investigate the horrors of Arkham while courting cosmic doom.,7.9,8.13,43773,https://boardgamegeek.com//boardgame/205637/arkham-horror-the-card-game
127,28,Lost Ruins of Arnak,2020,Explore an island to find resources and discover the lost ruins of Arnak.,7.895,8.07,45708,https://boardgamegeek.com//boardgame/312484/lost-ruins-of-arnak
128,29,Terra Mystica,2012,Play fantastical factions.  Expand your influence by terraforming and joining cults.,7.892,8.06,48417,https://boardgamegeek.com//boardgame/120677/terra-mystica
129,30,Wingspan,2019,Attract a beautiful and diverse collection of birds to your wildlife preserve.,7.89,8.04,95774,https://boardgamegeek.com//boardgame/266192/wingspan
130,31,Root,2018,Decide the fate of the forest as woodland factions fight for contrasting goals.,7.884,8.07,52995,https://boardgamegeek.com//boardgame/237182/root
131,32,Orléans,2014,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",7.872,8.06,31902,https://boardgamegeek.com//boardgame/164928/orleans
132,33,Too Many Bones,2017,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,7.871,8.34,13938,https://boardgamegeek.com//boardgame/192135/too-many-bones
133,34,Mage Knight Board Game,2011,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.",7.853,8.09,33554,https://boardgamegeek.com//boardgame/96848/mage-knight-board-game
134,35,Barrage,2019,Nations vie for hydroelectric dominance in a dystopia where water is power.,7.851,8.17,18258,https://boardgamegeek.com//boardgame/251247/barrage
135,36,Everdell,2018,Gather resources to develop a harmonious village of woodland critters and structures.,7.843,8.02,56450,https://boardgamegeek.com//boardgame/199792/everdell
136,37,The Crew: Mission Deep Sea,2021,Dive into the deep sea in this co-operative trick-taking game with variable missions.,7.843,8.14,18667,https://boardgamegeek.com//boardgame/324856/the-crew-mission-deep-sea
137,38,Viticulture Essential Edition,2015,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,7.836,7.99,49585,https://boardgamegeek.com//boardgame/183394/viticulture-essential-edition
138,39,Dune: Imperium – Uprising,2023,"Deploy agents, build your deck, and engage in strategic battles to control Arrakis.",7.814,8.74,6379,https://boardgamegeek.com//boardgame/397598/dune-imperium-uprising
139,40,Marvel Champions: The Card Game,2019,Battle Marvel villains with unique teams of iconic heroes in this LCG.,7.798,8.12,24235,https://boardgamegeek.com//boardgame/285774/marvel-champions-the-card-game
140,41,Food Chain Magnate,2015,Strategically hire and manage your workforce to outcompete rival fast food chains.,7.798,8.06,20761,https://boardgamegeek.com//boardgame/175914/food-chain-magnate
141,42,Heat: Pedal to the Metal,2022,Manage your race car's speed to keep from overheating.,7.797,8.05,25422,https://boardgamegeek.com//boardgame/366013/heat-pedal-to-the-metal
142,43,Pax Pamir: Second Edition,2019,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",7.792,8.18,14582,https://boardgamegeek.com//boardgame/256960/pax-pamir-second-edition
143,44,Underwater Cities,2018,"Develop future cities on the seafloor through politics, production, and science.",7.784,8.06,20075,https://boardgamegeek.com//boardgame/247763/underwater-cities
144,45,Kanban EV,2020,EV-factory workers optimize and innovate to stand out at the big board meeting.,7.773,8.42,7981,https://boardgamegeek.com//boardgame/284378/kanban-ev
145,46,Puerto Rico,2002,"Ship goods, construct buildings, and choose roles that benefit you more than others.",7.773,7.91,71438,https://boardgamegeek.com//boardgame/3076/puerto-rico
146,47,Crokinole,1876,Flick discs and make trick shots in this traditional Canadian dexterity game!,7.77,8.04,18414,https://boardgamegeek.com//boardgame/521/crokinole
147,48,Cascadia,2021,Create the most harmonious ecosystem as you puzzle together habitats and wildlife.,7.766,7.94,40950,https://boardgamegeek.com//boardgame/295947/cascadia
148,49,Caverna: The Cave Farmers,2013,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",7.759,7.94,35165,https://boardgamegeek.com//boardgame/102794/caverna-the-cave-farmers
149,50,Anachrony,2017,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,7.754,8.07,19046,https://boardgamegeek.com//boardgame/185343/anachrony
150,51,Pandemic Legacy: Season 0,2020,Work together during the Cold War to prevent a Soviet bio-threat.,7.752,8.39,7897,https://boardgamegeek.com//boardgame/314040/pandemic-legacy-season-0
151,52,On Mars,2020,"Be a part of the first Martian colony, striving to be the best contributor.",7.751,8.19,12958,https://boardgamegeek.com//boardgame/184267/on-mars
152,53,Blood Rage,2015,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,7.751,7.92,47779,https://boardgamegeek.com//boardgame/170216/blood-rage
153,54,Agricola,2007,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,7.745,7.87,73317,https://boardgamegeek.com//boardgame/31260/agricola
154,55,Sleeping Gods,2021,"Voyages of the steamship ""Manticore"" and her crew on the Wandering Sea.",7.736,8.19,12624,https://boardgamegeek.com//boardgame/255984/sleeping-gods
155,56,Lisboa,2017,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,7.72,8.19,11349,https://boardgamegeek.com//boardgame/161533/lisboa
156,57,Pandemic Legacy: Season 2,2017,The world is a mystery after a devastating pandemic—where will your team go?,7.72,8.03,17080,https://boardgamegeek.com//boardgame/221107/pandemic-legacy-season-2
157,58,Cthulhu: Death May Die,2019,Disrupt the ritual and slay the Elder Gods in this co-op dice chucker.,7.72,8.18,13031,https://boardgamegeek.com//boardgame/253344/cthulhu-death-may-die
158,59,Mansions of Madness: Second Edition,2016,Unravel mysteries in Arkham with your investigative team in this app-guided game.,7.71,7.94,36888,https://boardgamegeek.com//boardgame/205059/mansions-of-madness-second-edition
159,60,Obsession,2018,"Renovate an estate, manage servants, and pursue romance in Victorian England.",7.706,8.14,13167,https://boardgamegeek.com//boardgame/231733/obsession
160,61,Hegemony: Lead Your Class to Victory,2023,"Simulate a whole contemporary nation in this asymmetric, politico-economic euro-game.",7.7,8.46,7235,https://boardgamegeek.com//boardgame/321608/hegemony-lead-your-class-to-victory
161,62,Tzolk'in: The Mayan Calendar,2012,"Lead your people, build monuments and make offerings to earn the favour of the gods.",7.7,7.86,39754,https://boardgamegeek.com//boardgame/126163/tzolkin-the-mayan-calendar
162,63,Oathsworn: Into the Deepwood,2022,Fight for humanity's survival against unnatural horrors and the Deepwood itself.,7.698,8.96,5074,https://boardgamegeek.com//boardgame/251661/oathsworn-into-the-deepwood
163,64,Power Grid,2004,"Bid, network, and manage resources in a race to supply the most cities with power.",7.697,7.81,65984,https://boardgamegeek.com//boardgame/2651/power-grid
164,65,Grand Austria Hotel,2015,Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.,7.696,7.95,21476,https://boardgamegeek.com//boardgame/182874/grand-austria-hotel
165,66,Maracaibo,2019,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,7.694,8.01,16676,https://boardgamegeek.com//boardgame/276025/maracaibo
166,67,The Quacks of Quedlinburg,2018,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",7.681,7.82,51104,https://boardgamegeek.com//boardgame/244521/the-quacks-of-quedlinburg
167,68,Clans of Caledonia,2017,"Lead your unique Scottish clan to economic might via production, trade, and export.",7.679,7.94,20665,https://boardgamegeek.com//boardgame/216132/clans-of-caledonia
168,69,Le Havre,2008,"Establish a supply chain by collecting resources, building industries, and shipping.",7.678,7.85,32000,https://boardgamegeek.com//boardgame/35677/le-havre
